nr, time, date, gen-freq, row, column, size, lower, upper, runtime, log-freq, table, model, cache, cpu, gen, drop, proc, dup, thread0, cpucore-t0, cpumhz-t0, thread1, cpucore-t1, cpumhz-t1, thread2, cpucore-t2, cpumhz-t2, thread3, cpucore-t3, cpumhz-t3, thread4, cpucore-t4, cpumhz-t4, thread5, cpucore-t5, cpumhz-t5, thread6, cpucore-t6, cpumhz-t6, thread7, cpucore-t7, cpumhz-t7, thread8, cpucore-t8, cpumhz-t8, thread9, cpucore-t9, cpumhz-t9, thread10, cpucore-t10, cpumhz-t10, thread11, cpucore-t11, cpumhz-t11, thread12, cpucore-t12, cpumhz-t12, thread13, cpucore-t13, cpumhz-t13, thread14, cpucore-t14, cpumhz-t14, thread15, cpucore-t15, cpumhz-t15, thread16, cpucore-t16, cpumhz-t16, thread17, cpucore-t17, cpumhz-t17, thread18, cpucore-t18, cpumhz-t18, thread19, cpucore-t19, cpumhz-t19, thread20, cpucore-t20, cpumhz-t20, thread21, cpucore-t21, cpumhz-t21, thread22, cpucore-t22, cpumhz-t22, thread23, cpucore-t23, cpumhz-t23, thread24, cpucore-t24, cpumhz-t24, thread25, cpucore-t25, cpumhz-t25, thread26, cpucore-t26, cpumhz-t26, thread27, cpucore-t27, cpumhz-t27, thread28, cpucore-t28, cpumhz-t28, thread29, cpucore-t29, cpumhz-t29, thread30, cpucore-t30, cpumhz-t30, thread31, cpucore-t31, cpumhz-t31, thread32, cpucore-t32, cpumhz-t32, thread33, cpucore-t33, cpumhz-t33, thread34, cpucore-t34, cpumhz-t34, thread35, cpucore-t35, cpumhz-t35, thread36, cpucore-t36, cpumhz-t36, thread37, cpucore-t37, cpumhz-t37, thread38, cpucore-t38, cpumhz-t38, thread39, cpucore-t39, cpumhz-t39, thread40, cpucore-t40, cpumhz-t40, thread41, cpucore-t41, cpumhz-t41, thread42, cpucore-t42, cpumhz-t42, thread43, cpucore-t43, cpumhz-t43, thread44, cpucore-t44, cpumhz-t44, thread45, cpucore-t45, cpumhz-t45, thread46, cpucore-t46, cpumhz-t46, thread47, cpucore-t47, cpumhz-t47, thread48, cpucore-t48, cpumhz-t48, thread49, cpucore-t49, cpumhz-t49
000000, 000000, Sun Apr  3 17:19:05 2022, 1, 5, 5, 25, 1, 99, 1, 1, 16384,  AMD EPYC 7H12 64-Core Processor,  512 KB,  64, 00001040, 00000976, 00000048, 00000000, 007, 2, 2469.314, 007, 3, 2552.506, 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, 
000000, 000000, Sun Apr  3 17:19:09 2022, 1, 5, 5, 25, 1, 99, 1, 1, 8192,  AMD EPYC 7H12 64-Core Processor,  512 KB,  64, 00001040, 00000972, 00000052, 00000000, 007, 2, 2593.326, 007, 3, 2529.634, 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, 
000000, 000000, Sun Apr  3 17:19:12 2022, 1, 5, 5, 25, 1, 99, 1, 1, 4096,  AMD EPYC 7H12 64-Core Processor,  512 KB,  64, 00001040, 00000983, 00000041, 00000000, 007, 2, 2415.534, 007, 3, 2533.593, 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, 
000000, 000000, Sun Apr  3 17:19:15 2022, 1, 5, 5, 25, 1, 99, 1, 1, 2048,  AMD EPYC 7H12 64-Core Processor,  512 KB,  64, 00001037, 00000980, 00000041, 00000000, 007, 2, 2592.374, 007, 3, 2549.663, 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, 
000000, 000000, Sun Apr  3 17:19:19 2022, 1, 5, 5, 25, 1, 99, 1, 1, 1024,  AMD EPYC 7H12 64-Core Processor,  512 KB,  64, 00001042, 00000971, 00000055, 00000000, 007, 2, 2470.434, 007, 3, 2551.811, 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, 
000000, 000000, Sun Apr  3 17:19:22 2022, 1, 5, 5, 25, 1, 99, 1, 1, 512,  AMD EPYC 7H12 64-Core Processor,  512 KB,  64, 00001040, 00000971, 00000053, 00000000, 007, 2, 2588.241, 007, 3, 2529.885, 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, 
000000, 000000, Sun Apr  3 17:19:25 2022, 1, 5, 5, 25, 1, 99, 1, 1, 256,  AMD EPYC 7H12 64-Core Processor,  512 KB,  64, 00001037, 00000981, 00000040, 00000000, 007, 2, 2592.463, 007, 3, 2558.465, 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, 
000000, 000000, Sun Apr  3 17:19:29 2022, 1, 5, 5, 25, 1, 99, 1, 1, 128,  AMD EPYC 7H12 64-Core Processor,  512 KB,  64, 00001041, 00000967, 00000058, 00000000, 007, 2, 2474.014, 007, 3, 2546.722, 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, 
000000, 000000, Sun Apr  3 17:19:32 2022, 1, 5, 5, 25, 1, 99, 1, 1, 64,  AMD EPYC 7H12 64-Core Processor,  512 KB,  64, 00001042, 00000980, 00000046, 00000000, 007, 2, 2471.471, 007, 3, 2572.923, 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, 
000000, 000000, Sun Apr  3 17:19:35 2022, 1, 5, 5, 25, 11, 89, 1, 1, 16384,  AMD EPYC 7H12 64-Core Processor,  512 KB,  64, 00001040, 00000982, 00000042, 00000000, 007, 2, 2531.589, 007, 3, 2573.395, 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, 
