runsec, runcounter, lognr, logsec, runtime, logfreq, genfreq, row, column, size, lower, upper, table, threads, model, cache, cpu, cpuquota, cpuperiod, cpuusage, memusage, memlimit, gen, drop, proc, dup, duphash, duptable, duprbtree, dupbstree, thread0, cpucore0, cpufreq0, thread1, cpucore1, cpufreq1, thread2, cpucore2, cpufreq2, thread3, cpucore3, cpufreq3, thread4, cpucore4, cpufreq4, thread5, cpucore5, cpufreq5, thread6, cpucore6, cpufreq6, thread7, cpucore7, cpufreq7, thread8, cpucore8, cpufreq8, thread9, cpucore9, cpufreq9, thread10, cpucore10, cpufreq10, thread11, cpucore11, cpufreq11, thread12, cpucore12, cpufreq12, thread13, cpucore13, cpufreq13, thread14, cpucore14, cpufreq14, thread15, cpucore15, cpufreq15, thread16, cpucore16, cpufreq16, thread17, cpucore17, cpufreq17, thread18, cpucore18, cpufreq18, thread19, cpucore19, cpufreq19
1, 0, 000011, 000011, 10, 1, 1, 3, 4, 12, 10, 99, 16384, 4,           Neoverse-N1,             10,               80, -1, 100000, 229672559008976, 5732001382, 9223372036854710272, 00525554, 00503954, 00001495, 00021461, 00019970, 00000000, 00000000, 00000000, 007, 2, 3, 007, 3, 5, 007, 4, 7, 007, 5, 9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
0, 1, 000022, 000022, 10, 1, 1, 3, 4, 12, 10, 99, 16384, 4,           Neoverse-N1,             10,               80, -1, 100000, 229718222495848, 5733947801, 9223372036854710272, 00525601, 00504010, 00001463, 00021445, 00019969, 00000000, 00000000, 00000000, 007, 2, 3, 007, 3, 5, 007, 4, 7, 007, 5, 9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1, 2, 000011, 000011, 10, 1, 1, 3, 4, 12, 10, 99, 16384, 8,           Neoverse-N1,             10,               80, -1, 100000, 229791939959868, 5731568844, 9223372036854710272, 00572836, 00573350, 00002317, 00042631, 00039769, 00000000, 00000000, 00000000, 007, 2, 3, 007, 3, 5, 006, 4, 7, 007, 5, 9, 007, 6, 11, 007, 7, 13, 007, 8, 15, 007, 9, 17, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
0, 3, 000022, 000022, 10, 1, 1, 3, 4, 12, 10, 99, 16384, 8,           Neoverse-N1,             10,               80, -1, 100000, 229871432307756, 5733731532, 9223372036854710272, 00521891, 00478584, 00001785, 00043022, 00039821, 00000000, 00000000, 00000000, 007, 2, 3, 007, 3, 5, 007, 4, 7, 007, 5, 9, 007, 6, 11, 007, 7, 13, 006, 8, 15, 007, 9, 17, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1, 4, 000011, 000011, 10, 1, 1, 3, 4, 12, 10, 99, 16384, 12,           Neoverse-N1,             10,               80, -1, 100000, 229986106275268, 5732001382, 9223372036854710272, 00516014, 00496599, 00002840, 00064092, 00059618, 00000000, 00000000, 00000000, 007, 2, 3, 007, 3, 5, 007, 4, 7, 007, 5, 9, 007, 6, 11, 007, 7, 13, 007, 8, 15, 007, 9, 17, 007, 10, 19, 007, 11, 21, 006, 12, 23, 007, 13, 25, , , , , , , , , , , , , , , , , , , , , , , , 
0, 5, 000022, 000022, 10, 1, 1, 3, 4, 12, 10, 99, 16384, 12,           Neoverse-N1,             10,               80, -1, 100000, 230100291148872, 5736543027, 9223372036854710272, 00569768, 00544708, 00002572, 00070103, 00065740, 00000000, 00000000, 00000000, 007, 2, 3, 007, 3, 5, 007, 4, 7, 007, 5, 9, 007, 6, 11, 007, 7, 13, 007, 8, 15, 007, 9, 17, 007, 10, 19, 007, 11, 21, 007, 12, 23, 007, 13, 25, , , , , , , , , , , , , , , , , , , , , , , , 
1, 6, 000015, 000015, 10, 1, 1, 3, 4, 12, 10, 99, 16384, 16,           Neoverse-N1,             10,               80, -1, 100000, 230308921160664, 5733731532, 9223372036854710272, 00511783, 00426376, 00003298, 00084842, 00079548, 00000000, 00000000, 00000000, 007, 2, 3, 007, 3, 5, 007, 4, 7, 007, 5, 9, 007, 6, 11, 007, 7, 13, 007, 8, 15, 007, 9, 17, 007, 10, 19, 007, 11, 21, 006, 12, 23, 007, 13, 25, 007, 14, 27, 007, 15, 29, 007, 16, 31, 007, 17, 33, , , , , , , , , , , , 
0, 7, 000026, 000026, 10, 1, 1, 3, 4, 12, 10, 99, 16384, 16,           Neoverse-N1,             10,               80, -1, 100000, 230458407919720, 5737191833, 9223372036854710272, 00514570, 00429610, 00003406, 00084459, 00079779, 00000000, 00000000, 00000000, 007, 2, 3, 007, 3, 5, 007, 4, 7, 007, 5, 9, 007, 6, 11, 007, 7, 13, 006, 8, 15, 007, 9, 17, 007, 10, 19, 007, 11, 21, 007, 12, 23, 007, 13, 25, 007, 14, 27, 007, 15, 29, 007, 16, 31, 007, 17, 33, , , , , , , , , , , , 
1, 8, 000015, 000015, 10, 1, 1, 3, 4, 12, 10, 99, 16384, 20,           Neoverse-N1,             10,               80, -1, 100000, 230730008880764, 5738056908, 9223372036854710272, 00539698, 00426377, 00004399, 00112444, 00105965, 00000000, 00000000, 00000000, 007, 2, 3, 007, 3, 5, 007, 4, 7, 007, 5, 9, 007, 6, 11, 007, 7, 13, 007, 8, 15, 007, 9, 17, 007, 10, 19, 007, 11, 21, 006, 12, 23, 007, 13, 25, 007, 14, 27, 007, 15, 29, 006, 16, 31, 007, 17, 33, 007, 18, 35, 007, 19, 37, 006, 20, 39, 007, 21, 41
0, 9, 000026, 000026, 10, 1, 1, 3, 4, 12, 10, 99, 16384, 20,           Neoverse-N1,             10,               80, -1, 100000, 230939818268296, 5744328704, 9223372036854710272, 00550429, 00521146, 00004653, 00113899, 00107825, 00000000, 00000000, 00000000, 007, 2, 3, 007, 3, 5, 007, 4, 7, 007, 5, 9, 007, 6, 11, 007, 7, 13, 007, 8, 15, 007, 9, 17, 007, 10, 19, 007, 11, 21, 006, 12, 23, 007, 13, 25, 007, 14, 27, 007, 15, 29, 007, 16, 31, 007, 17, 33, 007, 18, 35, 007, 19, 37, 007, 20, 39, 007, 21, 41
