runsec, runcounter, lognr, logsec, runtime, logfreq, genfreq, row, column, size, lower, upper, table, threads, model, cache, cpu, cpuquota, cpuperiod, cpuusage, memusage, memlimit, gen, drop, proc, dup, duphash, duptable, duprbtree, dupbstree, thread0, cpucore0, cpufreq0, thread1, cpucore1, cpufreq1, thread2, cpucore2, cpufreq2, thread3, cpucore3, cpufreq3, thread4, cpucore4, cpufreq4, thread5, cpucore5, cpufreq5, thread6, cpucore6, cpufreq6, thread7, cpucore7, cpufreq7, thread8, cpucore8, cpufreq8, thread9, cpucore9, cpufreq9, thread10, cpucore10, cpufreq10, thread11, cpucore11, cpufreq11, thread12, cpucore12, cpufreq12, thread13, cpucore13, cpufreq13, thread14, cpucore14, cpufreq14, thread15, cpucore15, cpufreq15, thread16, cpucore16, cpufreq16, thread17, cpucore17, cpufreq17, thread18, cpucore18, cpufreq18, thread19, cpucore19, cpufreq19
1, 0, 000018, 000018, 10, 1, 1, 3, 4, 12, 10, 99, 16384, 4,  Intel(R) Xeon(R) Gold 6258R CPU @ 2.70GHz,  39424,  28, 5000000, 100000, 29519524716, 7742259, 10737418240, 00221138, 00213327, 00000054, 00007740, 00007701, 00000000, 00000000, 00000000, 007, 2, 2700.001, 007, 3, 2700.000, 000, 4, 2700.000, 007, 5, 2699.958, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
0, 1, 000029, 000029, 10, 1, 1, 3, 4, 12, 10, 99, 16384, 4,  Intel(R) Xeon(R) Gold 6258R CPU @ 2.70GHz,  39424,  28, 5000000, 100000, 55601386630, 7814758, 10737418240, 00226006, 00218550, 00000074, 00007368, 00007297, 00000000, 00000000, 00000000, 007, 2, 2699.999, 007, 3, 2700.000, 006, 4, 2699.999, 007, 5, 2700.000, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1, 2, 000025, 000025, 10, 1, 1, 3, 4, 12, 10, 99, 16384, 8,  Intel(R) Xeon(R) Gold 6258R CPU @ 2.70GHz,  39424,  28, 5000000, 100000, 142873874024, 8914124, 10737418240, 00201648, 00186988, 00000129, 00014527, 00014388, 00000000, 00000000, 00000000, 007, 2, 2700.001, 007, 3, 2700.000, 006, 4, 2700.000, 007, 5, 2700.000, 007, 6, 2699.999, 007, 7, 2699.999, 006, 8, 2700.000, 007, 9, 2700.000, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
0, 3, 000036, 000036, 10, 1, 1, 3, 4, 12, 10, 99, 16384, 8,  Intel(R) Xeon(R) Gold 6258R CPU @ 2.70GHz,  39424,  28, 5000000, 100000, 181449960241, 9032499, 10737418240, 00197747, 00182841, 00000109, 00014773, 00014639, 00000000, 00000000, 00000000, 007, 2, 2699.999, 007, 3, 2699.999, 005, 4, 2700.000, 007, 5, 2699.999, 007, 6, 2699.999, 007, 7, 2700.000, 003, 8, 2699.999, 006, 9, 2699.966, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1, 4, 000032, 000032, 10, 1, 1, 3, 4, 12, 10, 99, 16384, 12,  Intel(R) Xeon(R) Gold 6258R CPU @ 2.70GHz,  39424,  28, 5000000, 100000, 330368128881, 10399744, 10737418240, 00153321, 00134540, 00000144, 00018542, 00018407, 00000000, 00000000, 00000000, 007, 2, 2700.000, 007, 3, 2699.999, 000, 4, 2700.000, 007, 5, 2699.934, 007, 6, 2700.000, 007, 7, 2699.999, 000, 8, 2700.000, 007, 9, 2699.895, 007, 10, 2700.000, 007, 11, 2699.999, 007, 12, 2700.000, 007, 13, 2700.051, , , , , , , , , , , , , , , , , , , , , , , , 
0, 5, 000043, 000043, 10, 1, 1, 3, 4, 12, 10, 99, 16384, 12,  Intel(R) Xeon(R) Gold 6258R CPU @ 2.70GHz,  39424,  28, 5000000, 100000, 383638672114, 10757324, 10737418240, 00132450, 00103139, 00000114, 00016368, 00016295, 00000000, 00000000, 00000000, 007, 2, 2699.999, 007, 3, 2700.000, 000, 4, 2700.000, 007, 5, 2699.955, 007, 6, 2700.000, 007, 7, 2700.000, 000, 8, 2699.999, 007, 9, 2699.921, 007, 10, 2699.999, 007, 11, 2699.999, 006, 12, 2699.998, 007, 13, 2700.024, , , , , , , , , , , , , , , , , , , , , , , , 
1, 6, 000038, 000038, 10, 1, 1, 3, 4, 12, 10, 99, 16384, 16,  Intel(R) Xeon(R) Gold 6258R CPU @ 2.70GHz,  39424,  28, 5000000, 100000, 627083086422, 11458969, 10737418240, 00133245, 00112572, 00000154, 00020343, 00020240, 00000000, 00000000, 00000000, 007, 2, 2699.999, 007, 3, 2699.999, 000, 4, 2700.000, 007, 5, 2699.942, 007, 6, 2700.000, 007, 7, 2699.999, 000, 8, 2700.000, 007, 9, 2699.955, 007, 10, 2700.000, 007, 11, 2700.000, 003, 12, 2699.999, 007, 13, 2700.051, 007, 14, 2700.000, 007, 15, 2700.000, 003, 16, 2699.999, 007, 17, 2700.065, , , , , , , , , , , , 
0, 7, 000049, 000049, 10, 1, 1, 3, 4, 12, 10, 99, 16384, 16,  Intel(R) Xeon(R) Gold 6258R CPU @ 2.70GHz,  39424,  28, 5000000, 100000, 695667045550, 11800576, 10737418240, 00131829, 00110516, 00000171, 00020993, 00020878, 00000000, 00000000, 00000000, 007, 2, 2700.001, 007, 3, 2699.999, 000, 4, 2699.999, 007, 5, 2699.938, 007, 6, 2699.999, 007, 7, 2699.999, 000, 8, 2699.999, 006, 9, 2699.965, 007, 10, 2700.000, 007, 11, 2699.999, 001, 12, 2700.000, 007, 13, 2700.052, 007, 14, 2700.000, 007, 15, 2700.000, 006, 16, 2700.000, 007, 17, 2700.047, , , , , , , , , , , , 
1, 8, 000086, 000086, 10, 1, 1, 3, 4, 12, 10, 99, 16384, 20,  Intel(R) Xeon(R) Gold 6258R CPU @ 2.70GHz,  39424,  28, 5000000, 100000, 1577156869136, 15387852, 10737418240, 00142898, 00117236, 00000381, 00025264, 00024872, 00000000, 00000000, 00000000, 007, 2, 2700.000, 007, 3, 2700.000, 000, 4, 2699.999, 007, 5, 2699.950, 007, 6, 2699.999, 007, 7, 2699.999, 000, 8, 2699.999, 007, 9, 2699.955, 007, 10, 2700.000, 007, 11, 2700.000, 000, 12, 2699.999, 007, 13, 2700.006, 007, 14, 2700.000, 007, 15, 2700.000, 007, 16, 2700.000, 007, 17, 2700.002, 007, 18, 2700.000, 007, 19, 2699.999, 000, 20, 2700.000, 007, 21, 2699.823
0, 9, 000097, 000097, 10, 1, 1, 3, 4, 12, 10, 99, 16384, 20,  Intel(R) Xeon(R) Gold 6258R CPU @ 2.70GHz,  39424,  28, 5000000, 100000, 1673713474598, 16379904, 10737418240, 00135248, 00111504, 00000227, 00023371, 00023145, 00000000, 00000000, 00000000, 006, 2, 2700.000, 007, 3, 2699.999, 000, 4, 2700.000, 007, 5, 2699.955, 007, 6, 2700.000, 007, 7, 2699.999, 000, 8, 2700.000, 006, 9, 2699.997, 007, 10, 2699.999, 007, 11, 2700.000, 000, 12, 2700.000, 007, 13, 2700.038, 007, 14, 2699.999, 007, 15, 2700.000, 002, 16, 2700.000, 007, 17, 2700.064, 007, 18, 2699.999, 006, 19, 2699.999, 000, 20, 2699.999, 007, 21, 2699.841
1, 10, 000050, 000050, 10, 1, 1, 3, 4, 12, 10, 99, 2048, 4,  Intel(R) Xeon(R) Gold 6258R CPU @ 2.70GHz,  39424,  28, 5000000, 100000, 1847703369113, 7446118, 10737418240, 00226812, 00220144, 00000069, 00006587, 00006525, 00000000, 00000000, 00000000, 007, 2, 2700.000, 007, 3, 2700.000, 006, 4, 2699.999, 007, 5, 2700.000, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
0, 11, 000061, 000061, 10, 1, 1, 3, 4, 12, 10, 99, 2048, 4,  Intel(R) Xeon(R) Gold 6258R CPU @ 2.70GHz,  39424,  28, 5000000, 100000, 1875392703758, 7657881, 10737418240, 00241924, 00234286, 00000079, 00007552, 00007468, 00000000, 00000000, 00000000, 007, 2, 2699.998, 007, 3, 2700.000, 007, 4, 2700.000, 007, 5, 2699.958, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1, 12, 000065, 000065, 10, 1, 1, 3, 4, 12, 10, 99, 2048, 8,  Intel(R) Xeon(R) Gold 6258R CPU @ 2.70GHz,  39424,  28, 5000000, 100000, 2104690943012, 8894464, 10737418240, 00188433, 00173524, 00000107, 00014790, 00014663, 00000000, 00000000, 00000000, 007, 2, 2700.001, 007, 3, 2700.000, 000, 4, 2700.000, 007, 5, 2699.962, 007, 6, 2699.998, 007, 7, 2700.000, 000, 8, 2699.999, 007, 9, 2699.989, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
0, 13, 000076, 000076, 10, 1, 1, 3, 4, 12, 10, 99, 2048, 8,  Intel(R) Xeon(R) Gold 6258R CPU @ 2.70GHz,  39424,  28, 5000000, 100000, 2139140382223, 9137356, 10737418240, 00188535, 00172736, 00000107, 00017227, 00017090, 00000000, 00000000, 00000000, 007, 2, 2700.001, 007, 3, 2699.999, 000, 4, 2699.999, 007, 5, 2699.955, 007, 6, 2700.000, 007, 7, 2699.999, 007, 8, 2700.000, 007, 9, 2700.000, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1, 14, 000040, 000040, 10, 1, 1, 3, 4, 12, 10, 99, 2048, 12,  Intel(R) Xeon(R) Gold 6258R CPU @ 2.70GHz,  39424,  28, 5000000, 100000, 2314122192965, 9391718, 10737418240, 00116808, 00103077, 00000098, 00013533, 00013445, 00000000, 00000000, 00000000, 007, 2, 2700.000, 007, 3, 2700.000, 000, 4, 2700.000, 007, 5, 2699.959, 006, 6, 2699.999, 007, 7, 2699.998, 006, 8, 2700.000, 007, 9, 2699.999, 007, 10, 2700.000, 007, 11, 2699.999, 000, 12, 2700.000, 007, 13, 2700.057, , , , , , , , , , , , , , , , , , , , , , , , 
0, 15, 000051, 000051, 10, 1, 1, 3, 4, 12, 10, 99, 2048, 12,  Intel(R) Xeon(R) Gold 6258R CPU @ 2.70GHz,  39424,  28, 5000000, 100000, 2361888538610, 9541222, 10737418240, 00112224, 00098435, 00000141, 00013592, 00013465, 00000000, 00000000, 00000000, 007, 2, 2700.000, 007, 3, 2700.000, 007, 4, 2700.000, 007, 5, 2699.947, 007, 6, 2700.000, 006, 7, 2700.000, 001, 8, 2700.000, 007, 9, 2700.000, 007, 10, 2700.000, 007, 11, 2699.999, 000, 12, 2700.001, 007, 13, 2700.064, , , , , , , , , , , , , , , , , , , , , , , , 
1, 16, 000036, 000036, 10, 1, 1, 3, 4, 12, 10, 99, 2048, 16,  Intel(R) Xeon(R) Gold 6258R CPU @ 2.70GHz,  39424,  28, 5000000, 100000, 2564849703102, 10020864, 10737418240, 00118538, 00101522, 00000180, 00016738, 00016591, 00000000, 00000000, 00000000, 007, 2, 2700.000, 007, 3, 2700.000, 000, 4, 2700.000, 007, 5, 2699.948, 007, 6, 2700.000, 007, 7, 2699.999, 000, 8, 2700.000, 007, 9, 2699.999, 007, 10, 2700.000, 006, 11, 2700.001, 005, 12, 2700.001, 007, 13, 2700.092, 007, 14, 2700.000, 007, 15, 2699.998, 003, 16, 2699.998, 007, 17, 2700.245, , , , , , , , , , , , 
0, 17, 000047, 000047, 10, 1, 1, 3, 4, 12, 10, 99, 2048, 16,  Intel(R) Xeon(R) Gold 6258R CPU @ 2.70GHz,  39424,  28, 5000000, 100000, 2628657609454, 10320691, 10737418240, 00150363, 00132480, 00000219, 00017624, 00017382, 00000000, 00000000, 00000000, 007, 2, 2699.999, 007, 3, 2700.000, 000, 4, 2700.000, 005, 5, 2699.950, 007, 6, 2700.001, 007, 7, 2700.000, 006, 8, 2699.999, 007, 9, 2699.999, 007, 10, 2700.000, 007, 11, 2700.000, 007, 12, 2700.000, 007, 13, 2700.000, 005, 14, 2700.000, 007, 15, 2700.000, 000, 16, 2700.000, 007, 17, 2700.185, , , , , , , , , , , , 
