runsec, runcounter, lognr, logsec, runtime, logfreq, genfreq, row, column, size, lower, upper, table, threads, model, cache, cpu, cpuquota, cpuperiod, cpuusage, memusage, memlimit, gen, drop, proc, dup, duphash, duptable, duprbtree, dupbstree, thread0, cpucore0, cpufreq0, thread1, cpucore1, cpufreq1, thread2, cpucore2, cpufreq2, thread3, cpucore3, cpufreq3, thread4, cpucore4, cpufreq4, thread5, cpucore5, cpufreq5, thread6, cpucore6, cpufreq6, thread7, cpucore7, cpufreq7, thread8, cpucore8, cpufreq8, thread9, cpucore9, cpufreq9, thread10, cpucore10, cpufreq10, thread11, cpucore11, cpufreq11, thread12, cpucore12, cpufreq12, thread13, cpucore13, cpufreq13, thread14, cpucore14, cpufreq14, thread15, cpucore15, cpufreq15, thread16, cpucore16, cpufreq16, thread17, cpucore17, cpufreq17, thread18, cpucore18, cpufreq18, thread19, cpucore19, cpufreq19
1, 0, 000013, 000013, 10, 1, 1, 3, 4, 12, 10, 99, 16384, 4,  Intel(R) Xeon(R) Gold 6258R CPU @ 2.70GHz,  39424,  28, 1000000, 100000, 36300759957, 8111308, 9223372036854771712, 00431462, 00411166, 00000600, 00020195, 00019166, 00000000, 00000000, 00000000, 007, 2, 2699.999, 007, 3, 2700.000, 007, 4, 2699.999, 007, 5, 2699.796, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
0, 1, 000024, 000024, 10, 1, 1, 3, 4, 12, 10, 99, 16384, 4,  Intel(R) Xeon(R) Gold 6258R CPU @ 2.70GHz,  39424,  28, 1000000, 100000, 83383894254, 9804595, 9223372036854771712, 00339257, 00318691, 00000503, 00020480, 00019221, 00000000, 00000000, 00000000, 007, 2, 2699.999, 007, 3, 2700.000, 007, 4, 2699.999, 007, 5, 2699.845, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1, 2, 000020, 000020, 10, 1, 1, 3, 4, 12, 10, 99, 16384, 8,  Intel(R) Xeon(R) Gold 6258R CPU @ 2.70GHz,  39424,  28, 1000000, 100000, 228101420125, 11329126, 9223372036854771712, 00259397, 00219553, 00001202, 00039651, 00037828, 00000000, 00000000, 00000000, 007, 2, 2699.999, 007, 3, 2700.000, 007, 4, 2700.001, 007, 5, 2699.931, 007, 6, 2700.000, 007, 7, 2700.000, 007, 8, 2700.000, 007, 9, 2700.072, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
0, 3, 000031, 000031, 10, 1, 1, 3, 4, 12, 10, 99, 16384, 8,  Intel(R) Xeon(R) Gold 6258R CPU @ 2.70GHz,  39424,  28, 1000000, 100000, 312235275500, 12573081, 9223372036854771712, 00247215, 00207456, 00001222, 00039581, 00037916, 00000000, 00000000, 00000000, 007, 2, 2700.000, 007, 3, 2699.999, 007, 4, 2700.000, 007, 5, 2699.960, 007, 6, 2699.999, 007, 7, 2700.000, 007, 8, 2700.001, 007, 9, 2700.095, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1, 4, 000023, 000023, 10, 1, 1, 3, 4, 12, 10, 99, 16384, 12,  Intel(R) Xeon(R) Gold 6258R CPU @ 2.70GHz,  39424,  28, 1000000, 100000, 557736160063, 12773785, 9223372036854771712, 00205582, 00154949, 00001578, 00055373, 00048306, 00000000, 00000000, 00000000, 007, 2, 2700.000, 007, 3, 2700.000, 000, 4, 2654.310, 007, 5, 2699.943, 007, 6, 2699.999, 007, 7, 2699.999, 001, 8, 2699.999, 007, 9, 2699.901, 007, 10, 2700.000, 007, 11, 2700.001, 001, 12, 2700.001, 007, 13, 2453.741, , , , , , , , , , , , , , , , , , , , , , , , 
0, 5, 000034, 000034, 10, 1, 1, 3, 4, 12, 10, 99, 16384, 12,  Intel(R) Xeon(R) Gold 6258R CPU @ 2.70GHz,  39424,  28, 1000000, 100000, 676617255892, 14102937, 9223372036854771712, 00201346, 00151604, 00001646, 00049462, 00047430, 00000000, 00000000, 00000000, 007, 2, 2684.272, 007, 3, 2699.999, 000, 4, 2699.999, 007, 5, 2700.007, 007, 6, 2699.998, 007, 7, 2700.000, 001, 8, 2699.998, 007, 9, 2699.755, 007, 10, 2700.000, 007, 11, 2699.662, 000, 12, 2699.999, 007, 13, 2700.119, , , , , , , , , , , , , , , , , , , , , , , , 
1, 6, 000037, 000037, 10, 1, 1, 3, 4, 12, 10, 99, 16384, 16,  Intel(R) Xeon(R) Gold 6258R CPU @ 2.70GHz,  39424,  28, 1000000, 100000, 1095402422237, 14705049, 9223372036854771712, 00141560, 00119662, 00001458, 00032219, 00030503, 00000000, 00000000, 00000000, 007, 2, 2700.000, 007, 3, 2699.999, 000, 4, 2669.648, 007, 5, 2699.755, 007, 6, 2700.000, 007, 7, 2700.000, 000, 8, 2699.999, 007, 9, 2699.900, 007, 10, 2699.999, 006, 11, 2686.770, 000, 12, 2700.000, 007, 13, 2699.939, 007, 14, 2700.001, 007, 15, 2700.001, 001, 16, 2700.000, 007, 17, 2699.727, , , , , , , , , , , , 
0, 7, 000048, 000048, 10, 1, 1, 3, 4, 12, 10, 99, 16384, 16,  Intel(R) Xeon(R) Gold 6258R CPU @ 2.70GHz,  39424,  28, 1000000, 100000, 1217783960331, 15532032, 9223372036854771712, 00139933, 00107795, 00001496, 00031715, 00029997, 00000000, 00000000, 00000000, 007, 2, 2700.000, 007, 3, 2666.903, 000, 4, 2700.000, 007, 5, 2699.925, 007, 6, 2700.000, 007, 7, 2700.000, 000, 8, 2700.000, 007, 9, 2699.906, 007, 10, 2660.240, 007, 11, 2700.000, 000, 12, 2699.999, 007, 13, 2700.087, 007, 14, 2700.000, 007, 15, 2700.000, 007, 16, 2700.000, 007, 17, 2699.999, , , , , , , , , , , , 
1, 8, 000021, 000021, 10, 1, 1, 3, 4, 12, 10, 99, 16384, 20,  Intel(R) Xeon(R) Gold 6258R CPU @ 2.70GHz,  39424,  28, 1000000, 100000, 1520232492208, 13732249, 9223372036854771712, 00120044, 00091517, 00001841, 00028065, 00025823, 00000000, 00000000, 00000000, 007, 2, 2699.921, 007, 3, 2698.045, 001, 4, 2699.999, 007, 5, 2593.758, 007, 6, 2700.000, 007, 7, 2697.200, 001, 8, 2695.220, 007, 9, 2699.897, 007, 10, 2699.999, 007, 11, 2700.000, 000, 12, 2700.000, 007, 13, 2509.857, 007, 14, 2700.000, 007, 15, 2700.000, 000, 16, 2696.249, 007, 17, 2699.683, 007, 18, 2696.216, 007, 19, 2681.352, 000, 20, 2700.000, 007, 21, 2683.940
0, 9, 000032, 000032, 10, 1, 1, 3, 4, 12, 10, 99, 16384, 20,  Intel(R) Xeon(R) Gold 6258R CPU @ 2.70GHz,  39424,  28, 1000000, 100000, 1697202876809, 15377203, 9223372036854771712, 00118468, 00089760, 00001798, 00028280, 00026195, 00000000, 00000000, 00000000, 007, 2, 2691.663, 007, 3, 2695.554, 000, 4, 2700.000, 007, 5, 2597.565, 007, 6, 2699.999, 007, 7, 2698.653, 000, 8, 2700.000, 007, 9, 2699.923, 007, 10, 2699.999, 007, 11, 2695.606, 000, 12, 2699.999, 007, 13, 2624.750, 007, 14, 2648.510, 007, 15, 2700.000, 001, 16, 2700.000, 007, 17, 2699.899, 007, 18, 2699.999, 007, 19, 2692.083, 000, 20, 2699.999, 007, 21, 2699.903
