runsec, runcounter, lognr, logsec, runtime, logfreq, genfreq, row, column, size, lower, upper, table, threads, model, cache, cpu, cpuquota, cpuperiod, cpuusage, memusage, memlimit, gen, drop, proc, dup, duphash, duptable, duprbtree, dupbstree, thread0, cpucore0, cpufreq0, thread1, cpucore1, cpufreq1, thread2, cpucore2, cpufreq2, thread3, cpucore3, cpufreq3, thread4, cpucore4, cpufreq4, thread5, cpucore5, cpufreq5, thread6, cpucore6, cpufreq6, thread7, cpucore7, cpufreq7, thread8, cpucore8, cpufreq8, thread9, cpucore9, cpufreq9, thread10, cpucore10, cpufreq10, thread11, cpucore11, cpufreq11, thread12, cpucore12, cpufreq12, thread13, cpucore13, cpufreq13, thread14, cpucore14, cpufreq14, thread15, cpucore15, cpufreq15, thread16, cpucore16, cpufreq16, thread17, cpucore17, cpufreq17, thread18, cpucore18, cpufreq18, thread19, cpucore19, cpufreq19, thread20, cpucore20, cpufreq20, thread21, cpucore21, cpufreq21, thread22, cpucore22, cpufreq22, thread23, cpucore23, cpufreq23, thread24, cpucore24, cpufreq24, thread25, cpucore25, cpufreq25, thread26, cpucore26, cpufreq26, thread27, cpucore27, cpufreq27, thread28, cpucore28, cpufreq28, thread29, cpucore29, cpufreq29, thread30, cpucore30, cpufreq30, thread31, cpucore31, cpufreq31, thread32, cpucore32, cpufreq32, thread33, cpucore33, cpufreq33, thread34, cpucore34, cpufreq34, thread35, cpucore35, cpufreq35, thread36, cpucore36, cpufreq36, thread37, cpucore37, cpufreq37, thread38, cpucore38, cpufreq38, thread39, cpucore39, cpufreq39, thread40, cpucore40, cpufreq40, thread41, cpucore41, cpufreq41, thread42, cpucore42, cpufreq42, thread43, cpucore43, cpufreq43, thread44, cpucore44, cpufreq44, thread45, cpucore45, cpufreq45, thread46, cpucore46, cpufreq46, thread47, cpucore47, cpufreq47, thread48, cpucore48, cpufreq48, thread49, cpucore49, cpufreq49, thread50, cpucore50, cpufreq50, thread51, cpucore51, cpufreq51, thread52, cpucore52, cpufreq52, thread53, cpucore53, cpufreq53, thread54, cpucore54, cpufreq54, thread55, cpucore55, cpufreq55, thread56, cpucore56, cpufreq56, thread57, cpucore57, cpufreq57, thread58, cpucore58, cpufreq58, thread59, cpucore59, cpufreq59, thread60, cpucore60, cpufreq60, thread61, cpucore61, cpufreq61, thread62, cpucore62, cpufreq62, thread63, cpucore63, cpufreq63
0, 1, 000000, 000000, 50, 1, 1, 2, 2, 4, 10, 99, 16384, 4,  Intel(R) Xeon(R) Gold 6258R CPU @ 2.70GHz,  39424,  28, -1, 100000, 156398537458101, 16553406464, 9223372036854771712, 00811026, 00667170, 00000795, 00000025, 00000025, 00000000, 00000026, 00000000, 006, 2, 2700.000, 007, 3, 2700.000, 004, 4, 2699.999, 007, 5, 2699.997, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1, 1, 000001, 000001, 50, 1, 1, 2, 2, 4, 10, 99, 16384, 4,  Intel(R) Xeon(R) Gold 6258R CPU @ 2.70GHz,  39424,  28, -1, 100000, 156404097449509, 16576249856, 9223372036854771712, 00878388, 00733905, 00000802, 00000134, 00000121, 00000000, 00000123, 00000000, 003, 2, 2699.998, 007, 3, 2699.998, 005, 4, 2700.001, 007, 5, 2700.001, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2, 1, 000002, 000002, 50, 1, 1, 2, 2, 4, 10, 99, 16384, 4,  Intel(R) Xeon(R) Gold 6258R CPU @ 2.70GHz,  39424,  28, -1, 100000, 156409647375357, 16598687744, 9223372036854771712, 00875889, 00733486, 00000803, 00000212, 00000180, 00000000, 00000182, 00000000, 003, 2, 2700.003, 007, 3, 2699.997, 006, 4, 2699.999, 007, 5, 2700.002, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
3, 1, 000003, 000003, 50, 1, 1, 2, 2, 4, 10, 99, 16384, 4,  Intel(R) Xeon(R) Gold 6258R CPU @ 2.70GHz,  39424,  28, -1, 100000, 156415203192315, 16621166592, 9223372036854771712, 00876434, 00733205, 00000806, 00000307, 00000266, 00000000, 00000275, 00000001, 005, 2, 2699.999, 007, 3, 2699.999, 007, 4, 2700.001, 007, 5, 2699.998, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4, 1, 000004, 000004, 50, 1, 1, 2, 2, 4, 10, 99, 16384, 4,  Intel(R) Xeon(R) Gold 6258R CPU @ 2.70GHz,  39424,  28, -1, 100000, 156420771608809, 16643563520, 9223372036854771712, 00877546, 00734351, 00000806, 00000344, 00000294, 00000000, 00000303, 00000000, 005, 2, 2700.000, 006, 3, 2699.999, 006, 4, 2700.000, 007, 5, 2700.002, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
5, 1, 000005, 000005, 50, 1, 1, 2, 2, 4, 10, 99, 16384, 4,  Intel(R) Xeon(R) Gold 6258R CPU @ 2.70GHz,  39424,  28, -1, 100000, 156426341207576, 16665907200, 9223372036854771712, 00877061, 00734529, 00000810, 00000459, 00000390, 00000000, 00000399, 00000000, 006, 2, 2699.996, 007, 3, 2700.000, 007, 4, 2700.000, 007, 5, 2700.000, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
6, 1, 000006, 000006, 50, 1, 1, 2, 2, 4, 10, 99, 16384, 4,  Intel(R) Xeon(R) Gold 6258R CPU @ 2.70GHz,  39424,  28, -1, 100000, 156431862988144, 16686817280, 9223372036854771712, 00850373, 00716879, 00000801, 00000499, 00000447, 00000000, 00000475, 00000000, 007, 2, 2700.004, 007, 3, 2700.000, 007, 4, 2699.998, 007, 5, 2699.998, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
7, 1, 000007, 000007, 50, 1, 1, 2, 2, 4, 10, 99, 16384, 4,  Intel(R) Xeon(R) Gold 6258R CPU @ 2.70GHz,  39424,  28, -1, 100000, 156437392630114, 16708038656, 9223372036854771712, 00851270, 00715495, 00000803, 00000585, 00000500, 00000000, 00000486, 00000000, 007, 2, 2699.993, 007, 3, 2700.000, 007, 4, 2700.000, 007, 5, 2700.000, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
8, 1, 000008, 000008, 50, 1, 1, 2, 2, 4, 10, 99, 16384, 4,  Intel(R) Xeon(R) Gold 6258R CPU @ 2.70GHz,  39424,  28, -1, 100000, 156443053237880, 16725479424, 9223372036854771712, 00949062, 00840027, 00000805, 00000336, 00000286, 00000000, 00000593, 00000001, 007, 2, 2699.995, 007, 3, 2700.001, 007, 4, 2699.999, 007, 5, 2700.000, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
9, 1, 000009, 000009, 50, 1, 1, 2, 2, 4, 10, 99, 16384, 4,  Intel(R) Xeon(R) Gold 6258R CPU @ 2.70GHz,  39424,  28, -1, 100000, 156448804270442, 16739266560, 9223372036854771712, 01044349, 00959408, 00000806, 00000111, 00000091, 00000000, 00000632, 00000000, 007, 2, 2699.998, 007, 3, 2700.000, 007, 4, 2700.000, 007, 5, 2700.001, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
